stimulus_id,eval_artwork_no,block_id,artwork_id,artist_ko,title_ko,condition,condition_name_internal,blind_label_for_participant,presentation_order,script_text,script_length_chars,estimated_duration_sec,audio_file_suggested
S01_caption,EW_01,A,GOGH_001,빈센트 반 고흐,별이 빛나는 밤,caption,일반 캡션형,설명 1,1,"지금부터 빈센트 반 고흐의 1889년 작품, '별이 빛나는 밤'에 대한 설명을 듣겠습니다. 화면에는 소용돌이치는 밤하늘, 두꺼운 붓터치, 둥근 별과 달이 주요하게 배치되어 있습니다. 화면은 위쪽의 넓은 하늘과 아래쪽의 작은 마을로 크게 나뉩니다. 왼쪽에는 세로로 긴 나무 형태가 솟아 있고, 하늘에는 둥근 별들이 흩어져 있으며 가운데에는 굵은 곡선이 물결처럼 지나갑니다. 화면 오른쪽에는 마을 너머로 부드러운 능선이 가로로 흐르고, 별과 달은 서로 다른 크기로 분포되어 빈 하늘 영역을 채웁니다. 굵은 곡선이 만드는 큰 흐름과 작은 별들의 점은 화면 위쪽 절반의 밀도를 다르게 만듭니다. 마을의 낮은 선과 하늘의 큰 곡선이 서로 대비되어, 화면의 위아래 비중이 분명하게 나뉩니다.",380,68.5,GOGH_001_caption.mp3
S01_docent,EW_01,A,GOGH_001,빈센트 반 고흐,별이 빛나는 밤,docent,일반 도슨트형,설명 2,2,"지금부터 빈센트 반 고흐의 1889년 작품, '별이 빛나는 밤'에 대한 설명을 듣겠습니다. 이 작품은 고흐가 생레미에 머물던 시기에 그린 대표작으로, 실제 풍경과 작가의 내면적 상상이 결합된 회화로 자주 해석됩니다. 후기인상주의에서 색과 선은 단순한 묘사를 넘어 감정을 드러내는 수단이 되었고, 이 작품의 강한 곡선과 두꺼운 붓질은 그런 변화가 잘 드러나는 사례입니다. 이 작품은 현재 뉴욕 현대미술관(MoMA)에 소장되어 있으며, 고흐가 동생 테오에게 보낸 편지에서도 직접 언급한 대표작 중 하나입니다. 이 작품에서는 아래의 고요한 마을과 위쪽의 격렬한 하늘이 대비되며, 자연을 감정의 언어로 바꾸려는 고흐의 태도가 드러납니다.",352,63.4,GOGH_001_docent.mp3
S01_sensedocent,EW_01,A,GOGH_001,빈센트 반 고흐,별이 빛나는 밤,sensedocent,SenseDocent 감각 전환형,설명 3,3,"지금부터 빈센트 반 고흐의 1889년 작품, '별이 빛나는 밤'에 대한 설명을 듣겠습니다. 화면은 위쪽의 넓은 하늘과 아래쪽의 작은 마을로 크게 나뉩니다. 왼쪽에는 세로로 긴 나무 형태가 솟아 있고, 하늘에는 둥근 별들이 흩어져 있으며 가운데에는 굵은 곡선이 물결처럼 지나갑니다. 어두운 하늘은 차가운 밤공기처럼 피부를 감싸고, 둥근 별들은 그 안에서 작은 심장 박동처럼 반복적으로 진동합니다. 굽이치는 선을 따라가면 두껍게 발린 물감의 거친 높낮이가 손끝에 걸리며, 정지된 밤이 아니라 온몸으로 흔들리는 밤처럼 느껴집니다. 소용돌이치는 밤하늘은 천천히 도는 움직임과 반복되는 리듬을 떠올리게 하고, 두꺼운 붓터치는 손끝에 걸리는 거친 촉감과 마찰감을 남깁니다.",370,66.7,GOGH_001_sensedocent.mp3
S02_docent,EW_02,B,GOGH_002,빈센트 반 고흐,해바라기,docent,일반 도슨트형,설명 1,1,"지금부터 빈센트 반 고흐의 1888년 작품, '해바라기'에 대한 설명을 듣겠습니다. 이 작품은 고흐가 아를 시기에 반복해서 그린 해바라기 연작과 연결됩니다. 단순한 꽃 정물이지만, 그는 해바라기를 통해 밝은 색채와 두꺼운 물감의 힘을 실험했습니다. 해바라기들은 장식적인 꽃다발을 넘어, 고흐가 색채와 물감의 두께로 생명력과 시간의 변화를 표현한 사례로 볼 수 있습니다. 이 연작은 고흐가 색을 감정의 언어로 적극 사용하던 아를 시기의 대표적인 예로 자주 언급됩니다. 이러한 점에서 '해바라기'는 후기인상주의의 표현 방식과 정물화의 주제 의식을 함께 살펴볼 수 있는 작품입니다. 특히 노란 계열의 반복은 정물화의 단순한 소재를 강한 회화적 실험으로 바꿉니다.",367,66.1,GOGH_002_docent.mp3
S02_sensedocent,EW_02,B,GOGH_002,빈센트 반 고흐,해바라기,sensedocent,SenseDocent 감각 전환형,설명 2,2,"지금부터 빈센트 반 고흐의 1888년 작품, '해바라기'에 대한 설명을 듣겠습니다. 화면 중앙에 화병이 놓이고 그 위로 해바라기들이 둥글고 불규칙하게 퍼져 있습니다. 꽃들은 화면 위쪽과 좌우로 벌어지며, 아래쪽에는 화병이 무게 중심을 잡습니다. 화병에서 위로 퍼지는 꽃의 높낮이를 따라가면, 둥근 꽃머리와 아래로 숙인 꽃이 서로 다른 무게를 만듭니다. 전체적으로 건조한 열기가 올라오고, 위로 선 꽃과 아래로 숙인 꽃이 서로 다른 방향의 힘을 만들어 뜨거운 생명력과 서서히 마르는 무게가 함께 전해집니다. 화병에 꽂힌 여러 송이 해바라기는 작은 열기와 맥박처럼 번지는 떨림처럼 느껴지고, 두꺼운 노란 붓터치는 피부에 먼저 닿는 온도 차이로 이어집니다.",364,65.6,GOGH_002_sensedocent.mp3
S02_caption,EW_02,B,GOGH_002,빈센트 반 고흐,해바라기,caption,일반 캡션형,설명 3,3,"지금부터 빈센트 반 고흐의 1888년 작품, '해바라기'에 대한 설명을 듣겠습니다. 화면에는 화병에 꽂힌 여러 송이 해바라기, 두꺼운 노란 붓터치, 고개 숙인 꽃이 주요하게 배치되어 있습니다. 화면 중앙에 화병이 놓이고 그 위로 해바라기들이 둥글고 불규칙하게 퍼져 있습니다. 꽃들은 화면 위쪽과 좌우로 벌어지며, 아래쪽에는 화병이 무게 중심을 잡습니다. 화병의 입구는 화면 중앙 아래에 놓이고, 꽃대들은 위로 갈라집니다. 둥근 꽃머리들은 서로 다른 높이에 배치되어 있습니다. 꽃송이 사이에는 빈틈이 있어 각 꽃의 방향이 구분되고, 화병 아래쪽은 비교적 단순한 면으로 정리됩니다. 꽃송이들은 같은 방향을 향하지 않고 서로 다른 각도로 놓여 있어, 정물 안에서도 움직임이 느껴집니다.",380,68.5,GOGH_002_caption.mp3
S03_sensedocent,EW_03,C,GOGH_005,빈센트 반 고흐,까마귀가 있는 밀밭,sensedocent,SenseDocent 감각 전환형,설명 1,1,"지금부터 빈센트 반 고흐의 1890년 작품, '까마귀가 있는 밀밭'에 대한 설명을 듣겠습니다. 하단에는 세 갈래 길이 화면 안으로 뻗고, 중간에는 밀밭이 넓게 펼쳐져 있습니다. 상단은 무거운 하늘이 화면을 덮고, 하늘과 밭 사이로 작은 검은 새들이 흩어져 있습니다. 머리 위의 하늘은 폭풍 전의 무거운 공기처럼 눌러오고, 밀밭은 바람에 쓸리는 거친 풀잎처럼 무릎을 스칩니다. 갈라지는 길은 어느 방향으로도 안정되게 이어지지 않아, 발밑의 땅이 흔들리고 새떼의 빠른 움직임이 불길한 진동을 남깁니다. 갈라지는 흙길은 발이 따라갈 수 있는 방향감과 거리감을 떠올리게 하고, 노란 밀밭은 손끝에 걸리는 거친 촉감과 마찰감을 남깁니다. 길의 갈라짐은 발밑의 방향감을 흩뜨리고, 새떼는 짧고 날카로운 떨림을 남깁니다.",396,71.4,GOGH_005_sensedocent.mp3
S03_caption,EW_03,C,GOGH_005,빈센트 반 고흐,까마귀가 있는 밀밭,caption,일반 캡션형,설명 2,2,"지금부터 빈센트 반 고흐의 1890년 작품, '까마귀가 있는 밀밭'에 대한 설명을 듣겠습니다. 화면에는 갈라지는 흙길, 노란 밀밭, 어두운 하늘, 검은 새떼가 주요하게 배치되어 있습니다. 하단에는 세 갈래 길이 화면 안으로 뻗고, 중간에는 밀밭이 넓게 펼쳐져 있습니다. 상단은 무거운 하늘이 화면을 덮고, 하늘과 밭 사이로 작은 검은 새들이 흩어져 있습니다. 길은 화면 앞쪽에서 세 방향으로 갈라지며 시선을 안쪽으로 이끕니다. 밀밭은 가로 띠처럼 화면 중간을 가르고, 어두운 하늘은 위쪽에서 묵직한 색면으로 내려옵니다. 검은 새들은 작은 점과 짧은 사선으로 흩어져 화면 안쪽으로 빠져나갑니다. 길은 화면 앞쪽에서 세 방향으로 갈라지며 시선을 안쪽으로 이끕니다.",369,66.5,GOGH_005_caption.mp3
S03_docent,EW_03,C,GOGH_005,빈센트 반 고흐,까마귀가 있는 밀밭,docent,일반 도슨트형,설명 3,3,"지금부터 빈센트 반 고흐의 1890년 작품, '까마귀가 있는 밀밭'에 대한 설명을 듣겠습니다. 이 작품은 고흐 말년의 불안정한 정서와 강한 자연 표현이 함께 읽히는 풍경화입니다. 갈라지는 길, 거칠게 흔들리는 밀밭, 낮게 나는 새들은 평온한 전원 풍경이라기보다 긴장감 있는 장면을 만듭니다. 후기인상주의 회화에서 자연은 단순한 배경이 아니라 작가의 심리와 감정을 드러내는 무대가 됩니다. 이 작품은 고흐 말년의 오베르쉬르우아즈 시기에 그려진 풍경 중 하나로, 가로로 긴 화면 형식이 특징이며 현재 암스테르담 반 고흐 미술관에 소장되어 있습니다. 갈라지는 길과 낮게 나는 새들은 후기 작품에서 자주 논의되는 불안과 긴장의 이미지를 형성합니다.",358,64.5,GOGH_005_docent.mp3
S04_caption,EW_04,D,MONE_001,클로드 모네,"인상, 해돋이",caption,일반 캡션형,설명 1,1,"지금부터 클로드 모네의 1872년 작품, '인상, 해돋이'에 대한 설명을 듣겠습니다. 화면에는 안개 낀 항구, 작은 붉은 해, 수면의 반사, 배 실루엣이 주요하게 배치되어 있습니다. 화면은 하늘과 물의 경계가 흐리게 이어진 넓은 수평 구조입니다. 중앙 위쪽에 작은 해가 놓이고, 앞쪽 물 위에는 작은 배들이 낮게 배치되어 있습니다. 처음에는 큰 덩어리인 안개 낀 항구부터 떠올린 뒤, 작은 붉은 해와 수면의 반사를 하나씩 더하면 화면의 방향과 무게가 자연스럽게 정리됩니다. 수평선은 흐리게 낮게 놓이고, 작은 배들은 앞쪽 수면 위에 검은 실루엣으로 떠 있습니다. 해는 화면 위쪽 중앙 가까이에 작게 놓입니다.",340,61.3,MONE_001_caption.mp3
S04_sensedocent,EW_04,D,MONE_001,클로드 모네,"인상, 해돋이",sensedocent,SenseDocent 감각 전환형,설명 2,2,"지금부터 클로드 모네의 1872년 작품, '인상, 해돋이'에 대한 설명을 듣겠습니다. 화면은 하늘과 물의 경계가 흐리게 이어진 넓은 수평 구조입니다. 중앙 위쪽에 작은 해가 놓이고, 앞쪽 물 위에는 작은 배들이 낮게 배치되어 있습니다. 처음에는 큰 덩어리인 안개 낀 항구부터 떠올린 뒤, 작은 붉은 해와 수면의 반사를 하나씩 더하면 화면의 방향과 무게가 자연스럽게 정리됩니다. 안개 낀 항구의 공기는 축축하고 차갑게 피부에 내려앉습니다. 작은 해에서 퍼지는 온기는 얼어 있던 뺨을 천천히 녹이는 미지근한 숨결 같고, 물 위의 반사는 흔들리는 습기 속에서 조용히 번져 나갑니다. 이때 안개 낀 항구는 피부를 감싸는 촉촉한 공기를 만들고, 작은 붉은 해는 작은 열기와 맥박처럼 번지는 떨림을 보태어 장면의 분위기를 완성합니다.",404,72.8,MONE_001_sensedocent.mp3
S04_docent,EW_04,D,MONE_001,클로드 모네,"인상, 해돋이",docent,일반 도슨트형,설명 3,3,"지금부터 클로드 모네의 1872년 작품, '인상, 해돋이'에 대한 설명을 듣겠습니다. 이 작품은 인상주의라는 명칭과도 깊이 연결되는 대표작입니다. 모네는 항구의 세부를 정확히 그리기보다, 새벽빛과 안개, 수면에 번지는 짧은 순간의 인상을 포착하려 했습니다. 형태가 또렷하지 않은 대신 빛과 공기가 화면의 주제가 되며, 관람자는 무엇이 그려졌는가보다 어떻게 보이는가에 집중하게 됩니다. 이 작품은 1874년 파리에서 열린 첫 인상주의 전시에 출품되었고, 비평가 루이 르루아가 제목에서 따와 사용한 '인상주의'라는 명칭이 그대로 사조의 이름으로 굳어졌습니다. 현재 파리 마르모탕 모네 미술관에 소장되어 있습니다. 이 작품에서는 항구의 구체적 묘사보다 빛과 안개가 순간적으로 남기는 인상이 더 중요하게 다루어집니다.",397,71.5,MONE_001_docent.mp3
S05_docent,EW_05,E,MONE_003,클로드 모네,수련,docent,일반 도슨트형,설명 1,1,"지금부터 클로드 모네의 1899년경 작품, '수련'에 대한 설명을 듣겠습니다. 이 작품은 1896년부터 1926년까지 이어진 수련 연작 중 초기에 해당하며, 모네 말년의 정원과 연못을 바탕으로 한 대표적 주제입니다. 화면에서 지평선과 원근이 약해지면서 관람자는 특정 장소를 바라본다기보다 물 위의 빛과 반사 속에 들어가는 느낌을 받습니다. 이 작품은 인상주의가 순간의 빛을 포착하는 데서 나아가, 시야 전체를 감싸는 환경으로 확장되는 과정을 보여줍니다. 모네는 지베르니에 직접 가꾼 정원의 연못을 약 30년에 걸쳐 그렸으며, 이 연작은 후일 파리 오랑주리 미술관의 대형 패널 전시로 그 정점에 이르렀습니다. 수련 연작은 모네가 말년에 빛과 반사를 반복적으로 탐구하며, 풍경을 거의 추상적인 수면 경험으로 확장한 작업입니다.",404,72.8,MONE_003_docent.mp3
S05_caption,EW_05,E,MONE_003,클로드 모네,수련,caption,일반 캡션형,설명 2,2,"지금부터 클로드 모네의 1899년경 작품, '수련'에 대한 설명을 듣겠습니다. 화면에는 수면, 수련 잎, 반사광, 번지는 경계가 주요하게 배치되어 있습니다. 화면 전체가 연못의 수면으로 채워져 있고 뚜렷한 지평선은 없습니다. 둥근 수련 잎과 꽃들이 화면 곳곳에 떠 있으며, 반사된 빛이 부드러운 얼룩처럼 퍼집니다. 잎과 꽃은 작은 타원과 둥근 점으로 화면 곳곳에 흩어집니다. 수면의 반사는 길고 가는 띠처럼 위아래로 이어지고, 색은 한 영역에서 다른 영역으로 부드럽게 번지며 경계를 흐립니다. 화면 가장자리까지 같은 패턴이 이어져 끝이 잘린 듯한 느낌을 줍니다. 수련 잎들은 둥글고 납작한 형태로 여러 군데 흩어져 있으며, 물의 반사와 잎의 경계가 부드럽게 겹쳐집니다.",374,67.4,MONE_003_caption.mp3
S05_sensedocent,EW_05,E,MONE_003,클로드 모네,수련,sensedocent,SenseDocent 감각 전환형,설명 3,3,"지금부터 클로드 모네의 1899년경 작품, '수련'에 대한 설명을 듣겠습니다. 화면 전체가 연못의 수면으로 채워져 있고 뚜렷한 지평선은 없습니다. 둥근 수련 잎과 꽃들이 화면 곳곳에 떠 있으며, 반사된 빛이 부드러운 얼룩처럼 퍼집니다. 물결의 흐릿한 경계는 손을 넣으면 부드럽고 차가운 물이 손목을 감싸는 듯한 촉촉함을 줍니다. 수련 잎은 물 위에 가볍게 떠 있는 얇은 접시처럼 느껴지고, 번지는 빛은 물안개 사이로 스며드는 포근한 온도를 만듭니다. 수면은 피부를 감싸는 촉촉한 공기를 떠올리게 하고, 수련 잎은 가볍고 부드러운 식물성 촉감과 향의 암시를 남깁니다. 물과 잎은 단단히 고정되지 않고, 몸이 수면 위에 살짝 떠 있는 듯한 부유감을 줍니다.",365,65.8,MONE_003_sensedocent.mp3
S06_sensedocent,EW_06,A,MONE_005,클로드 모네,생라자르 역,sensedocent,SenseDocent 감각 전환형,설명 1,1,"지금부터 클로드 모네의 1877년 작품, '생라자르 역'에 대한 설명을 듣겠습니다. 화면 위쪽에는 높은 철골 지붕이 있고, 중앙에는 기차와 승강장이 배치되어 있습니다. 연기는 화면 상단을 넓게 덮으며, 사람과 구조물은 아래쪽에 작고 반복적으로 놓입니다. 처음에는 큰 덩어리인 기차역부터 떠올린 뒤, 철골 지붕과 증기 연기를 하나씩 더하면 화면의 방향과 무게가 자연스럽게 정리됩니다. 증기는 따뜻하고 축축한 숨처럼 공기 전체를 채우며 코끝에 매캐한 느낌을 남깁니다. 철골과 기관차는 차갑고 육중한 금속 덩어리처럼 진동하고, 역 안의 웅성거림은 낮은 소음의 층으로 바닥을 울립니다. 이때 기차역은 단단한 구조감과 물체가 놓인 무게감을 만들고, 철골 지붕은 단단한 구조감과 물체가 놓인 무게감을 보태어 장면의 분위기를 완성합니다.",405,73.0,MONE_005_sensedocent.mp3
S06_docent,EW_06,A,MONE_005,클로드 모네,생라자르 역,docent,일반 도슨트형,설명 2,2,"지금부터 클로드 모네의 1877년 작품, '생라자르 역'에 대한 설명을 듣겠습니다. 모네는 생라자르 역을 통해 근대 도시의 기차역과 증기기관차를 인상주의의 소재로 끌어들였습니다. 이 작품에서 중요한 것은 기차의 세부 묘사보다 유리 지붕 아래에 퍼지는 연기와 빛, 그리고 움직이는 도시의 분위기입니다. 산업화된 공간도 빛과 공기의 변화 속에서 회화적 장면이 될 수 있음을 보여줍니다. 모네는 1877년 한 해 동안 같은 역을 주제로 약 12점의 연작을 제작했고, 그중 일부는 같은 해 제3회 인상주의 전시에서 함께 소개되었습니다. 증기와 철도 구조는 근대 도시의 속도와 산업적 풍경을 회화의 주제로 끌어들인 인상주의의 관심을 보여줍니다.",355,64.0,MONE_005_docent.mp3
S06_caption,EW_06,A,MONE_005,클로드 모네,생라자르 역,caption,일반 캡션형,설명 3,3,"지금부터 클로드 모네의 1877년 작품, '생라자르 역'에 대한 설명을 듣겠습니다. 화면에는 기차역, 철골 지붕, 증기 연기, 기관차가 주요하게 배치되어 있습니다. 화면 위쪽에는 높은 철골 지붕이 있고, 중앙에는 기차와 승강장이 배치되어 있습니다. 연기는 화면 상단을 넓게 덮으며, 사람과 구조물은 아래쪽에 작고 반복적으로 놓입니다. 처음에는 큰 덩어리인 기차역부터 떠올린 뒤, 철골 지붕과 증기 연기를 하나씩 더하면 화면의 방향과 무게가 자연스럽게 정리됩니다. 기차와 승강장은 화면 아래쪽에 무겁게 놓이고, 증기 구름은 위쪽으로 퍼지며 철제 지붕 구조와 겹쳐 보입니다. 연기 덩어리는 지붕 구조를 일부 가리며, 기차와 승강장의 위치를 부드럽게 흐리게 만듭니다.",370,66.7,MONE_005_caption.mp3
